risk_segment,borrower_count,average_predicted_pd,actual_default_rate,calibration_difference,absolute_difference
Very Low Risk,600,0.006133624240122195,0.006666666666666667,0.0005330424265444717,0.0005330424265444717
Low Risk,599,0.013719142499479484,0.02671118530884808,0.012992042809368597,0.012992042809368597
Medium Risk,600,0.022947432944089505,0.03333333333333333,0.010385900389243828,0.010385900389243828
High Risk,599,0.0383969643008235,0.03672787979966611,-0.0016690845011573877,0.0016690845011573877
Very High Risk,600,0.0943926657196777,0.08833333333333333,-0.006059332386344374,0.006059332386344374
